+-----+------------+-----------------+
|  n  |   domain   |     address     |
+-----+------------+-----------------+
|  1  |  test.com  |  69.172.200.235 |
|  2  |  test.es   |    78.47.8.76   |
|  3  |  test.net  |  85.214.110.167 |
|  4  | test.info  |   104.31.88.91  |
|     |            |   104.31.89.91  |
|  5  |  test.it   |  62.149.128.166 |
|     |            |  62.149.128.74  |
|     |            |  62.149.128.151 |
|     |            |  62.149.128.160 |
|     |            |  62.149.128.157 |
|     |            |  62.149.128.154 |
|     |            |  62.149.128.72  |
|     |            |  62.149.128.163 |
|  6  |  test.pl   |  212.85.97.133  |
|  7  |  test.us   |   64.99.64.37   |
|  8  |  test.tk   |   94.130.14.88  |
|  9  | testa.com  |  67.223.102.79  |
|  10 |  testa.es  |  217.76.156.252 |
|  11 | testa.net  |   72.52.4.119   |
|  12 |  test.cf   |   72.52.4.119   |
|  13 | testa.info |   31.11.34.174  |
|  14 |  testa.ru  |  195.208.1.108  |
|  15 |  testa.it  |  213.215.222.93 |
|  16 |  testa.us  |  69.127.249.80  |
|  17 | testb.com  | 121.254.178.250 |
|  18 |  test.ml   |  141.8.224.221  |
|  19 |  testa.cn  |   47.90.30.95   |
|  20 | testa.xyz  |   46.101.62.7   |
|  21 |  testa.tk  |   195.20.43.26  |
|  22 | testa.org  |  69.172.201.153 |
|  23 |  testa.pl  |  46.242.244.181 |
|  24 |  testb.tk  |  195.20.43.232  |
|  25 |  testb.us  |  104.131.88.129 |
|  26 | testb.top  |  47.91.170.222  |
|  27 | testc.com  |  209.15.13.134  |
|  28 |  testb.ml  |  195.20.51.226  |
|  29 | testc.net  |  60.205.219.144 |
|  30 |  testc.ga  |  104.145.233.58 |
|     |            |  95.179.199.221 |
|  31 | testc.xyz  |  219.94.203.185 |
|  32 |  testd.ru  |  151.248.122.39 |
|  33 | teste.com  |  69.172.201.153 |
|  34 |  testd.cn  |  118.31.46.127  |
|  35 |  teste.ru  |   72.52.4.119   |
|  36 | teste.top  |  103.60.14.201  |
